Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1717198125,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198126,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198127,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198128,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198129,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198130,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198131,120,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198132,140,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198133,160,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198134,180,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198135,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198136,220,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198137,240,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198138,260,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198139,280,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717198140,300,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,20,0,14304.55176400028,14307.600018650188,14304.55176400028,14310.434488001192,758.3
1717198141,320,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,20,0,14304.55176400028,14307.600018650188,14304.55176400028,14310.434488001192,758.3
1717198142,340,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,20,0,14304.55176400028,14307.600018650188,14304.55176400028,14310.434488001192,758.3
1717198143,360,,Aggregated,0.000000,0.000000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,20,0,14304.55176400028,14307.600018650188,14304.55176400028,14310.434488001192,758.3
1717198144,380,,Aggregated,2.000000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,40,0,14304.55176400028,15777.419213650046,14304.55176400028,17250.20938200032,765.45
1717198145,400,,Aggregated,2.000000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,40,0,14304.55176400028,15777.419213650046,14304.55176400028,17250.20938200032,765.45
1717198146,420,,Aggregated,2.000000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,40,0,14304.55176400028,15777.419213650046,14304.55176400028,17250.20938200032,765.45
1717198147,440,,Aggregated,4.000000,0.000000,17000,17000,20000,20000,20000,20000,20000,20000,20000,20000,20000,60,0,17000.0,17079.803742700093,14304.55176400028,19688.458787000854,765.4833333333333
1717198148,460,,Aggregated,4.000000,0.000000,17000,17000,20000,20000,20000,20000,20000,20000,20000,20000,20000,60,0,17000.0,17079.803742700093,14304.55176400028,19688.458787000854,765.4833333333333
1717198149,480,,Aggregated,4.000000,0.000000,17000,17000,20000,20000,20000,20000,20000,20000,20000,20000,20000,60,0,17000.0,17079.803742700093,14304.55176400028,19688.458787000854,765.4833333333333
1717198150,500,,Aggregated,6.000000,0.000000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,80,0,17000.0,18232.280334075018,14304.55176400028,21694.705248999526,765.35
1717198151,520,,Aggregated,6.000000,0.000000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,80,0,17000.0,18232.280334075018,14304.55176400028,21694.705248999526,765.35
1717198152,540,,Aggregated,6.000000,0.000000,20000,22000,22000,23000,23000,23000,23000,23000,23000,23000,23000,100,0,20000.0,19183.96316334998,14304.55176400028,22993.34465799984,763.11
1717198153,560,,Aggregated,6.000000,0.000000,20000,22000,22000,23000,23000,23000,23000,23000,23000,23000,23000,100,0,20000.0,19183.96316334998,14304.55176400028,22993.34465799984,763.11
1717198154,580,,Aggregated,6.000000,0.000000,22000,22000,23000,23000,24000,24000,24000,24000,24000,24000,24000,120,0,20000.0,19987.5651852166,14304.55176400028,24010.93766700069,761.3416666666667
1717198155,600,,Aggregated,6.000000,0.000000,22000,22000,23000,23000,24000,24000,24000,24000,24000,24000,24000,120,0,20000.0,19987.5651852166,14304.55176400028,24010.93766700069,761.3416666666667
1717198156,620,,Aggregated,8.000000,0.000000,22000,23000,24000,24000,25000,25000,25000,25000,25000,25000,25000,140,0,22000.0,20678.122361764246,14304.55176400028,24824.177403999784,760.8285714285714
1717198157,640,,Aggregated,8.000000,0.000000,22000,23000,24000,24000,25000,25000,25000,25000,25000,25000,25000,140,0,22000.0,20678.122361764246,14304.55176400028,24824.177403999784,760.8285714285714
1717198158,660,,Aggregated,8.000000,0.000000,23000,24000,25000,25000,26000,26000,26000,26000,26000,26000,26000,160,0,22000.0,21296.939005249973,14304.55176400028,25631.45584800077,760.80625
1717198159,680,,Aggregated,8.000000,0.000000,23000,24000,25000,25000,26000,26000,26000,26000,26000,26000,26000,160,0,22000.0,21296.939005249973,14304.55176400028,25631.45584800077,760.80625
1717198160,700,,Aggregated,8.000000,0.000000,23000,24000,25000,26000,26000,26000,26000,26000,26000,26000,26000,180,0,23000.0,21840.009568077785,14304.55176400028,26187.417619999906,761.0388888888889
1717198161,720,,Aggregated,10.000000,0.000000,24000,25000,26000,26000,27000,27000,27000,27000,27000,27000,27000,200,0,23000.0,22307.139604080003,14304.55176400028,26513.942138999482,760.535
1717198162,740,,Aggregated,10.000000,0.000000,24000,26000,26000,26000,27000,27000,27000,27000,27000,27000,27000,220,0,24000.0,22716.58181695456,14304.55176400028,26813.950922000004,761.1954545454546
1717198163,760,,Aggregated,10.000000,0.000000,25000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000,240,0,24000.0,23064.460540320866,14304.55176400028,26895.74670699949,760.6666666666666
1717198164,780,,Aggregated,12.000000,0.000000,25000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000,256,0,25000.0,23306.77275220317,14304.55176400028,26944.68436399984,760.75390625
1717198165,800,,Aggregated,12.000000,0.000000,25000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000,256,0,25000.0,23306.77275220317,14304.55176400028,26944.68436399984,760.75390625
1717198166,820,,Aggregated,12.000000,0.000000,25000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000,256,0,25000.0,23306.77275220317,14304.55176400028,26944.68436399984,760.75390625
1717198167,840,,Aggregated,13.600000,0.000000,25000,27000,27000,27000,27000,28000,28000,29000,29000,29000,29000,276,0,25000.0,23680.290179163087,14304.55176400028,29241.73416800113,760.3804347826087
1717198168,860,,Aggregated,13.600000,0.000000,25000,27000,27000,27000,27000,28000,28000,29000,29000,29000,29000,276,0,25000.0,23680.290179163087,14304.55176400028,29241.73416800113,760.3804347826087
1717198169,880,,Aggregated,13.600000,0.000000,25000,27000,27000,27000,27000,28000,28000,29000,29000,29000,29000,276,0,25000.0,23680.290179163087,14304.55176400028,29241.73416800113,760.3804347826087
1717198170,900,,Aggregated,13.600000,0.000000,25000,27000,27000,27000,27000,28000,28000,29000,29000,29000,29000,276,0,25000.0,23680.290179163087,14304.55176400028,29241.73416800113,760.3804347826087
1717198171,920,,Aggregated,13.600000,0.000000,26000,27000,27000,27000,28000,31000,31000,32000,32000,32000,32000,296,0,26000.0,24191.293087033846,14304.55176400028,32042.20677000012,760.6148648648649
1717198172,940,,Aggregated,13.600000,0.000000,26000,27000,27000,27000,28000,31000,31000,32000,32000,32000,32000,296,0,26000.0,24191.293087033846,14304.55176400028,32042.20677000012,760.6148648648649
1717198173,960,,Aggregated,13.600000,0.000000,26000,27000,27000,27000,28000,31000,31000,32000,32000,32000,32000,296,0,26000.0,24191.293087033846,14304.55176400028,32042.20677000012,760.6148648648649
1717198174,980,,Aggregated,9.600000,0.000000,26000,27000,27000,27000,31000,34000,34000,35000,35000,35000,35000,316,0,26000.0,24797.951902591834,14304.55176400028,34576.874423000845,760.367088607595
1717198175,1000,,Aggregated,9.600000,0.000000,26000,27000,27000,27000,31000,34000,34000,35000,35000,35000,35000,316,0,26000.0,24797.951902591834,14304.55176400028,34576.874423000845,760.367088607595
1717198176,1020,,Aggregated,9.600000,0.000000,26000,27000,27000,27000,31000,34000,34000,35000,35000,35000,35000,316,0,26000.0,24797.951902591834,14304.55176400028,34576.874423000845,760.367088607595
1717198177,1040,,Aggregated,6.000000,0.000000,26000,27000,27000,28000,34000,36000,36000,37000,37000,37000,37000,336,0,26000.0,25454.807600675656,14304.55176400028,36631.48121300037,760.827380952381
1717198178,1060,,Aggregated,6.000000,0.000000,26000,27000,27000,28000,34000,36000,36000,37000,37000,37000,37000,336,0,26000.0,25454.807600675656,14304.55176400028,36631.48121300037,760.827380952381
1717198179,1080,,Aggregated,6.000000,0.000000,26000,27000,28000,31000,36000,37000,37000,38000,38000,38000,38000,356,0,26000.0,26112.96371205904,14304.55176400028,37932.32191300012,760.7219101123595
1717198180,1100,,Aggregated,6.000000,0.000000,26000,27000,28000,31000,36000,37000,37000,38000,38000,38000,38000,356,0,26000.0,26112.96371205904,14304.55176400028,37932.32191300012,760.7219101123595
1717198181,1120,,Aggregated,6.000000,0.000000,27000,27000,31000,34000,37000,38000,38000,39000,39000,39000,39000,376,0,27000.0,26763.602346422915,14304.55176400028,39028.9923700002,760.7632978723404
1717198182,1140,,Aggregated,6.000000,0.000000,27000,27000,31000,34000,37000,38000,38000,39000,39000,39000,39000,376,0,27000.0,26763.602346422915,14304.55176400028,39028.9923700002,760.7632978723404
1717198183,1160,,Aggregated,6.000000,0.000000,27000,28000,34000,36000,38000,39000,40000,40000,40000,40000,40000,396,0,27000.0,27394.020519550526,14304.55176400028,39844.424384999,760.4646464646464
1717198184,1180,,Aggregated,6.000000,0.000000,27000,28000,34000,36000,38000,39000,40000,40000,40000,40000,40000,396,0,27000.0,27394.020519550526,14304.55176400028,39844.424384999,760.4646464646464
1717198185,1200,,Aggregated,8.000000,0.000000,27000,29000,35000,37000,39000,39000,40000,40000,40000,40000,40000,416,0,27000.0,27997.399964812517,14304.55176400028,40418.44297500029,760.3197115384615
1717198186,1220,,Aggregated,8.000000,0.000000,27000,29000,35000,37000,39000,39000,40000,40000,40000,40000,40000,416,0,27000.0,27997.399964812517,14304.55176400028,40418.44297500029,760.3197115384615
1717198187,1240,,Aggregated,8.000000,0.000000,27000,31000,36000,37000,39000,40000,41000,41000,41000,41000,41000,436,0,27000.0,28585.522313112408,14304.55176400028,41269.902133999494,760.0871559633027
1717198188,1260,,Aggregated,10.000000,0.000000,27000,34000,37000,38000,40000,41000,42000,42000,42000,42000,42000,456,0,27000.0,29140.956900326764,14304.55176400028,41599.884012000985,759.905701754386
